Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['CCD' 'CCD' 'CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=7-6,J=15/2-13/2,F=15/2-15/2' 'N=7-6,J=15/2-13/2,F=13/2-13/2'
 'N=7-6,J=15/2-13/2,F=17/2-15/2' 'N=7-6,J=15/2-13/2,F=15/2-13/2'
 'N=7-6,J=15/2-13/2,F=13/2-11/2']",[504.8275263 504.8279558 504.8311849 504.8312718 504.8312765],[-5.14269 -5.0833  -3.38374 -3.39139 -3.3926 ],[96.91684 96.91671 96.91701 96.91687 96.91673],[-4.025  -4.0236 -2.2149 -2.2737 -2.3329]
['CCD' 'CCD' 'CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=7-6,J=13/2-11/2,F=15/2-13/2' 'N=7-6,J=13/2-11/2,F=13/2-11/2'
 'N=7-6,J=13/2-11/2,F=11/2-9/2' 'N=7-6,J=13/2-11/2,F=11/2-11/2'
 'N=7-6,J=13/2-11/2,F=13/2-13/2']",[504.8871667 504.8871842 504.8872678 504.8897322 504.8903439],[-3.38861 -3.39902 -3.40067 -4.94017 -5.00572],[96.93697 96.93711 96.93726 96.93723 96.93712],[-2.271  -2.3394 -2.408  -3.9475 -3.9461]
['CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=7-6,J=13/2-13/2,F=15/2-15/2' 'N=7-6,J=13/2-13/2,F=13/2-13/2'
 'N=7-6,J=13/2-13/2,F=11/2-11/2']",[505.2446886 505.2516112 505.2574799],[-5.33552 -5.36492 -5.37097],[96.93686 96.93705 96.93718],[-4.2182 -4.3056 -4.3786]
['CCD' 'CCD' 'CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=8-7,J=17/2-15/2,F=17/2-17/2' 'N=8-7,J=17/2-15/2,F=15/2-15/2'
 'N=8-7,J=17/2-15/2,F=19/2-17/2' 'N=8-7,J=17/2-15/2,F=17/2-15/2'
 'N=8-7,J=17/2-15/2,F=15/2-13/2']",[576.9177389 576.9180857 576.9213312 576.9213975 576.9214017],[-5.07263 -5.02048 -3.20618 -3.21213 -3.21298],[124.60494 124.60482 124.60512 124.60497 124.60483],[-3.9993 -3.9983 -2.0871 -2.1388 -2.1908]
['CCD' 'CCD' 'CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=8-7,J=15/2-13/2,F=17/2-15/2' 'N=8-7,J=15/2-13/2,F=15/2-13/2'
 'N=8-7,J=15/2-13/2,F=13/2-11/2' 'N=8-7,J=15/2-13/2,F=13/2-13/2'
 'N=8-7,J=15/2-13/2,F=15/2-15/2']",[576.9774034 576.9774161 576.9774802 576.9800282 576.9805933],[-3.20985 -3.2176  -3.21871 -4.89551 -4.9524 ],[124.62766 124.62781 124.62795 124.62793 124.62781],[-2.1366 -2.1955 -2.2546 -3.9314 -3.9303]
['CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=8-7,J=15/2-15/2,F=17/2-17/2' 'N=8-7,J=15/2-15/2,F=15/2-15/2'
 'N=8-7,J=15/2-15/2,F=13/2-13/2']",[577.3909071 577.3977556 577.4036836],[-5.27796 -5.302   -5.3083 ],[124.62765 124.62784 124.62798],[-4.205  -4.2802 -4.3445]
['CCD' 'CCD' 'CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=9-8,J=19/2-17/2,F=19/2-19/2' 'N=9-8,J=19/2-17/2,F=17/2-17/2'
 'N=9-8,J=19/2-17/2,F=21/2-19/2' 'N=9-8,J=19/2-17/2,F=19/2-17/2'
 'N=9-8,J=19/2-17/2,F=17/2-15/2']",[648.9949059 648.99519   648.9984459 648.9984982 648.9985018],[-5.01211 -4.96556 -3.05    -3.05471 -3.05536],[155.75213 155.752   155.7523  155.75216 155.75201],[-3.9867 -3.9859 -1.9832 -2.0293 -2.0757]
['CCD' 'CCD' 'CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=9-8,J=17/2-15/2,F=19/2-17/2' 'N=9-8,J=17/2-15/2,F=17/2-15/2'
 'N=9-8,J=17/2-15/2,F=15/2-13/2' 'N=9-8,J=17/2-15/2,F=15/2-15/2'
 'N=9-8,J=17/2-15/2,F=17/2-17/2']",[649.0546121 649.0546217 649.0546724 649.0572845 649.0578115],[-3.05284 -3.05888 -3.05953 -4.85463 -4.90498],[155.77758 155.77773 155.77787 155.77785 155.77774],[-2.0275 -2.0793 -2.1311 -3.9262 -3.9254]
['CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=9-8,J=17/2-17/2,F=19/2-19/2' 'N=9-8,J=17/2-17/2,F=17/2-17/2'
 'N=9-8,J=17/2-17/2,F=15/2-15/2']",[649.524188  649.5309797 649.5369544],[-5.22724 -5.24758 -5.25382],[155.77753 155.77771 155.77785],[-4.2022 -4.2683 -4.3257]
['CCD' 'CCD' 'CCD' 'CCD' 'CCD'],['Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl' 'Ethynyl'],"['N=10-9,J=21/2-19/2,F=21/2-21/2' 'N=10-9,J=21/2-19/2,F=19/2-19/2'
 'N=10-9,J=21/2-19/2,F=23/2-21/2' 'N=10-9,J=21/2-19/2,F=21/2-19/2'
 'N=10-9,J=21/2-19/2,F=19/2-17/2']",[721.0574032 721.0576381 721.0609009 721.0609432 721.0609463],[-4.95893 -4.91684 -2.91052 -2.91443 -2.91484],[190.35788 190.35775 190.35805 190.35791 190.35776],[-3.9854 -3.9847 -1.8992 -1.9409 -1.9827]
