Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['13C17O' '13C17O' '13C17O'],['Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide'],"['J=1-0,F=3/2-5/2' 'J=1-0,F=3/2-5/2' 'J=1-0,F=5/2-5/2']",[107.28855 107.28855 107.28965],[-7.23192 -7.23195 -7.23191],[5.14901 5.14901 5.14906],[-5.7528 -5.4518 -5.5767]
['13C17O' '13C17O' '13C17O' '13C17O' '13C17O' '13C17O' '13C17O' '13C17O'],"['Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide'
 'Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide']","['J=2-1,F=3/2-5/2' 'J=2-1,F=5/2-5/2' 'J=2-1,F=5/2-5/2' 'J=2-1,F=5/2-5/2'
 'J=2-1,F=5/2-5/2' 'J=2-1,F=3/2-3/2' 'J=2-1,F=5/2-7/2' 'J=2-1,F=5/2-7/2']","[214.5732039 214.573873  214.573873  214.573873  214.573873  214.5744356
 214.574917  214.574917 ]",[-6.77283 -6.46492 -6.44186 -6.24997 -6.25    -6.40483 -6.69716 -6.75702],[15.4469  15.44693 15.44693 15.44693 15.44693 15.44696 15.44698 15.44698],[-5.6059 -5.1219 -4.9739 -4.6851 -5.3841 -5.2379 -5.2292 -5.414 ]
"['13C17O' '13C17O' '13C17O' '13C17O' '13C17O' '13C17O' '13C17O' '13C17O'
 '13C17O' '13C17O' '13C17O' '13C17O' '13C17O']","['Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide'
 'Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide'
 'Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide'
 'Carbon Monoxide']","['J=3-2,F=3/2-5/2' 'J=3-2,F=1/2-3/2' 'J=3-2,F=5/2-7/2' 'J=3-2,F=5/2-5/2'
 'J=3-2,F=5/2-5/2' 'J=3-2,F=5/2-5/2' 'J=3-2,F=5/2-5/2' 'J=3-2,F=5/2-5/2'
 'J=3-2,F=5/2-5/2' 'J=3-2,F=5/2-5/2' 'J=3-2,F=5/2-5/2' 'J=3-2,F=5/2-5/2'
 'J=3-2,F=9/2-9/2']","[321.8509553 321.8511555 321.8512756 321.8515    321.8515    321.8515
 321.8515    321.8515    321.8515    321.8515    321.8515    321.8515
 321.8524171]","[-6.61305 -6.34542 -6.93524 -6.02674 -5.78109 -5.69217 -5.93715 -6.16248
 -5.80132 -5.88408 -6.01094 -6.19925 -6.42459]","[30.89323 30.89324 30.89324 30.89326 30.89326 30.89326 30.89326 30.89326
 30.89326 30.89326 30.89326 30.89326 30.8933 ]","[-5.6408 -5.6742 -5.7869 -4.8784 -4.4109 -4.2428 -4.9649 -4.8892 -5.1301
 -4.6108 -4.8626 -5.227  -5.0544]"
"['13C17O' '13C17O' '13C17O' '13C17O' '13C17O' '13C17O' '13C17O' '13C17O'
 '13C17O' '13C17O' '13C17O' '13C17O' '13C17O' '13C17O']","['Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide'
 'Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide'
 'Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide'
 'Carbon Monoxide' 'Carbon Monoxide']","['J=4-3,F=3/2-5/2' 'J=4-3,F=5/2-7/2' 'J=4-3,F=5/2-5/2' 'J=4-3,F=3/2-3/2'
 'J=4-3,F=7/2-7/2' 'J=4-3,F=13/2-11/2' 'J=4-3,F=11/2-9/2'
 'J=4-3,F=7/2-9/2' 'J=4-3,F=9/2-7/2' 'J=4-3,F=7/2-5/2' 'J=4-3,F=9/2-9/2'
 'J=4-3,F=3/2-1/2' 'J=4-3,F=5/2-3/2' 'J=4-3,F=11/2-11/2']","[429.1170306 429.1171207 429.1174222 429.1174637 429.1174909 429.1175344
 429.117538  429.1176259 429.1176613 429.1177924 429.1177963 429.1178107
 429.1178553 429.1185014]","[-6.74938 -6.81627 -5.78827 -5.79508 -5.85411 -5.30224 -5.3546  -7.05041
 -5.40692 -5.45611 -5.98462 -5.49408 -5.49407 -6.2467 ]","[51.48749 51.4875  51.48751 51.48751 51.48751 51.48752 51.48752 51.48752
 51.48752 51.48753 51.48753 51.48753 51.48753 51.48756]","[-5.9281 -5.8189 -4.7909 -4.9738 -4.7318 -3.9369 -4.0562 -5.9281 -4.1877
 -4.3338 -4.7654 -4.6728 -4.4967 -4.9483]"
"['13C17O' '13C17O' '13C17O' '13C17O' '13C17O' '13C17O' '13C17O' '13C17O'
 '13C17O' '13C17O' '13C17O' '13C17O']","['Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide'
 'Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide'
 'Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide']","['J=5-4,F=7/2-9/2' 'J=5-4,F=5/2-5/2' 'J=5-4,F=7/2-7/2' 'J=5-4,F=15/2-13/2'
 'J=5-4,F=13/2-11/2' 'J=5-4,F=9/2-9/2' 'J=5-4,F=11/2-9/2'
 'J=5-4,F=9/2-7/2' 'J=5-4,F=5/2-3/2' 'J=5-4,F=7/2-5/2' 'J=5-4,F=11/2-11/2'
 'J=5-4,F=13/2-13/2']","[536.368047  536.3681844 536.3682174 536.3683514 536.3683631 536.3683643
 536.368445  536.3685347 536.3685761 536.3685875 536.3687033 536.3693302]","[-6.95673 -5.76049 -5.69463 -5.00256 -5.03727 -5.73814 -5.06912 -5.09464
 -5.09149 -5.10723 -5.85872 -6.11647]","[77.22895 77.22895 77.22896 77.22896 77.22896 77.22896 77.22897 77.22897
 77.22897 77.22897 77.22898 77.22901]","[-5.9648 -4.8935 -4.7027 -3.7096 -3.8023 -4.6493 -3.9011 -4.0058 -4.2245
 -4.1153 -4.6907 -4.8815]"
"['13C17O' '13C17O' '13C17O' '13C17O' '13C17O' '13C17O' '13C17O' '13C17O'
 '13C17O' '13C17O' '13C17O']","['Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide'
 'Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide'
 'Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide']","['J=6-5,F=7/2-7/2' 'J=6-5,F=9/2-9/2' 'J=6-5,F=17/2-15/2'
 'J=6-5,F=15/2-13/2' 'J=6-5,F=11/2-11/2' 'J=6-5,F=13/2-11/2'
 'J=6-5,F=11/2-9/2' 'J=6-5,F=9/2-7/2' 'J=6-5,F=7/2-5/2'
 'J=6-5,F=13/2-13/2' 'J=6-5,F=15/2-15/2']","[643.5998929 643.5999751 643.6000962 643.6001128 643.6001649 643.6001758
 643.6002456 643.6002924 643.600296  643.600516  643.6010916]","[-5.72024 -5.62225 -4.75933 -4.78417 -5.64964 -4.80558 -4.82094 -4.82595
 -4.81174 -5.76168 -6.01467]","[108.11682 108.11682 108.11669 108.11683 108.11683 108.11683 108.11684
 108.11684 108.1167  108.11685 108.11673]","[-4.8484 -4.6535 -3.5353 -3.6113 -4.6017 -3.6907 -3.773  -3.8572 -3.9399
 -4.6468 -4.8418]"
"['13C17O' '13C17O' '13C17O' '13C17O' '13C17O' '13C17O' '13C17O' '13C17O'
 '13C17O' '13C17O' '13C17O']","['Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide'
 'Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide'
 'Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide']","['J=7-6,F=9/2-9/2' 'J=7-6,F=11/2-11/2' 'J=7-6,F=19/2-17/2'
 'J=7-6,F=17/2-15/2' 'J=7-6,F=15/2-13/2' 'J=7-6,F=13/2-13/2'
 'J=7-6,F=13/2-11/2' 'J=7-6,F=11/2-9/2' 'J=7-6,F=9/2-7/2'
 'J=7-6,F=15/2-15/2' 'J=7-6,F=17/2-17/2']","[750.8087444 750.8088617 750.8089583 750.808978  750.8090309 750.8090785
 750.8090894 750.8091322 750.8091439 750.809434  750.8099734]","[-5.68027 -5.56205 -4.5549  -4.57354 -4.58889 -5.5779  -4.5991  -4.60105
 -4.58967 -5.68289 -5.93144]","[144.14978 144.14978 144.14964 144.14979 144.14979 144.14979 144.14979
 144.1498  144.14965 144.14981 144.14969]","[-4.8268 -4.6294 -3.4004 -3.4648 -3.5313 -4.5783 -3.5995 -3.6684 -3.7362
 -4.6253 -4.8227]"
"['13C17O' '13C17O' '13C17O' '13C17O' '13C17O' '13C17O' '13C17O' '13C17O'
 '13C17O' '13C17O' '13C17O']","['Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide'
 'Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide'
 'Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide']","['J=8-7,F=11/2-11/2' 'J=8-7,F=13/2-13/2' 'J=8-7,F=21/2-19/2'
 'J=8-7,F=21/2-19/2' 'J=8-7,F=21/2-19/2' 'J=8-7,F=21/2-19/2'
 'J=8-7,F=21/2-19/2' 'J=8-7,F=21/2-19/2' 'J=8-7,F=15/2-15/2'
 'J=8-7,F=17/2-17/2' 'J=8-7,F=19/2-19/2']","[857.9909154 857.9910589 857.991204  857.991204  857.991204  857.991204
 857.991204  857.991204  857.9912942 857.9916511 857.9921634]","[-5.64239 -5.51034 -4.37863 -4.39314 -4.40468 -4.41193 -4.41264 -4.40349
 -5.51743 -5.61678 -5.86154]","[185.32663 185.32664 185.3265  185.3265  185.32665 185.32665 185.32665
 185.3265  185.32665 185.32653 185.32655]","[-4.8235 -4.6245 -3.2965 -3.3524 -3.4097 -3.4681 -3.5268 -3.5846 -4.5736
 -4.6218 -4.8208]"
