Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['CH3CNv=0'],['Methyl Cyanide'],['11(6)-10(6)'],[202.2153707],[-3.4651],[315.31661],[-2.5042]
['CH3CNv=0'],['Methyl Cyanide'],['11(5)-10(5)'],[202.2581544],[-3.41192],[236.81258],[-2.6385]
['CH3CNv=0'],['Methyl Cyanide'],['11(4)-10(4)'],[202.2931831],[-3.37277],[172.55749],[-2.5064]
['CH3CNv=0'],['Methyl Cyanide'],['11(3)-10(3)'],[202.3204425],[-3.34461],[122.5663],[-2.1049]
['CH3CNv=0'],['Methyl Cyanide'],['11(2)-10(2)'],[202.3399215],[-3.32554],[86.85008],[-2.3352]
['CH3CNv=0' 'CH3CNv=0'],['Methyl Cyanide' 'Methyl Cyanide'],['11(1)-10(1)' '11(0)-10(0)'],[202.351612  202.3555094],[-3.31445 -3.31078],[65.41704 58.27222],[-2.2931 -2.2791]
['CH3CNv=0'],['Methyl Cyanide'],['12(7)-11(7)'],[220.5393235],[-3.37778],[418.63631],[-2.8683]
['CH3CNv=0'],['Methyl Cyanide'],['12(6)-11(6)'],[220.5944231],[-3.32175],[325.90357],[-2.3771]
['CH3CNv=0'],['Methyl Cyanide'],['12(5)-11(5)'],[220.6410839],[-3.27937],[247.40174],[-2.5222]
['CH3CNv=0'],['Methyl Cyanide'],['12(4)-11(4)'],[220.6792869],[-3.24741],[183.14853],[-2.3973]
['CH3CNv=0'],['Methyl Cyanide'],['12(3)-11(3)'],[220.7090165],[-3.22415],[133.15875],[-2.0007]
['CH3CNv=0'],['Methyl Cyanide'],['12(2)-11(2)'],[220.7302607],[-3.20818],[97.44348],[-2.2341]
['CH3CNv=0' 'CH3CNv=0'],['Methyl Cyanide' 'Methyl Cyanide'],['12(1)-11(1)' '12(0)-11(0)'],[220.7430106 220.7472612],[-3.19899 -3.19582],[76.01122 68.86655],[-2.1939 -2.1804]
['CH3CNv=0'],['Methyl Cyanide'],['13(7)-12(7)'],[238.9127154],[-3.24019],[430.10239],[-2.748]
['CH3CNv=0'],['Methyl Cyanide'],['13(6)-12(6)'],[238.9723895],[-3.19526],[337.37245],[-2.2679]
['CH3CNv=0'],['Methyl Cyanide'],['13(5)-12(5)'],[239.0229241],[-3.16048],[258.87312],[-2.4206]
['CH3CNv=0'],['Methyl Cyanide'],['13(4)-12(4)'],[239.0642988],[-3.13391],[194.62193],[-2.3011]
['CH3CNv=0'],['Methyl Cyanide'],['13(3)-12(3)'],[239.0964966],[-3.11425],[144.63356],[-1.9081]
['CH3CNv=0'],['Methyl Cyanide'],['13(2)-12(2)'],[239.1195044],[-3.10078],[108.91953],[-2.144]
['CH3CNv=0' 'CH3CNv=0'],['Methyl Cyanide' 'Methyl Cyanide'],['13(1)-12(1)' '13(0)-12(0)'],[239.1333129 239.1379164],[-3.09288 -3.09022],[87.48789 80.34338],[-2.1051 -2.0921]
['CH3CNv=0'],['Methyl Cyanide'],['14(7)-13(7)'],[257.2849349],[-3.11882],[442.45024],[-2.645]
['CH3CNv=0'],['Methyl Cyanide'],['14(6)-13(6)'],[257.3491793],[-3.08168],[349.7234],[-2.1727]
['CH3CNv=0'],['Methyl Cyanide'],['14(5)-13(5)'],[257.4035843],[-3.05249],[271.22655],[-2.331]
['CH3CNv=0'],['Methyl Cyanide'],['14(4)-13(4)'],[257.4481277],[-3.03003],[206.97753],[-2.2156]
['CH3CNv=0'],['Methyl Cyanide'],['14(3)-13(3)'],[257.4827915],[-3.01327],[156.99087],[-1.8255]
['CH3CNv=0'],['Methyl Cyanide'],['14(2)-13(2)'],[257.5075614],[-3.00169],[121.27807],[-2.0633]
