Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['COv=0'],['Carbon Monoxide'],['1-0'],[115.2712018],[-7.14246],[5.53211],[-5.0105]
['COv=0'],['Carbon Monoxide'],['2-1'],[230.538],[-6.1605],[16.59608],[-4.1197]
['COv=0'],['Carbon Monoxide'],['3-2'],[345.7959899],[-5.60266],[33.19169],[-3.6118]
['COv=0'],['Carbon Monoxide'],['4-3'],[461.0407682],[-5.2128],[55.31801],[-3.2657]
['COv=0'],['Carbon Monoxide'],['5-4'],[576.2679305],[-4.91318],[82.97426],[-3.0118]
['COv=0'],['Carbon Monoxide'],['6-5'],[691.4730763],[-4.67011],[116.15965],[-2.8193]
['COv=0'],['Carbon Monoxide'],['7-6'],[806.651806],[-4.46569],[154.87252],[-2.6716]
['COv=0'],['Carbon Monoxide'],['8-7'],[921.7997],[-4.28954],[199.11167],[-2.559]
