Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['13CN'],['Cyanide Radical'],"['N=2-1,J=3/2-3/2,F1=1-2,F=2-3']",[216.9516408],[-5.62261],[15.65945],[-4.6592]
['13CN'],['Cyanide Radical'],"['N=2-1,J=3/2-1/2,F1=1-1,F=0-1']",[217.032603],[-4.49678],[15.65758],[-4.2325]
['13CN' '13CN' '13CN'],['Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical'],"['N=2-1,J=3/2-1/2,F1=1-1,F=1-1' 'N=2-1,J=3/2-1/2,F1=1-1,F=1-0'
 'N=2-1,J=3/2-1/2,F1=1-1,F=1-2']",[217.0456245 217.046213  217.046988 ],[-5.15388 -4.91588 -4.78967],[15.65821 15.65809 15.65813],[-4.4125 -4.1745 -4.0483]
['13CN' '13CN'],['Cyanide Radical' 'Cyanide Radical'],"['N=2-1,J=3/2-1/2,F1=1-1,F=2-1' 'N=2-1,J=3/2-1/2,F1=1-1,F=2-2']",[217.072801 217.074239],[-4.91837 -4.51997],[15.65951 15.65944],[-3.9552 -3.5568]
['13CN'],['Cyanide Radical'],"['N=2-1,J=3/2-1/2,F1=1-0,F=0-1']",[217.264639],[-4.21853],[15.6575],[-3.9547]
['13CN' '13CN'],['Cyanide Radical' 'Cyanide Radical'],"['N=2-1,J=5/2-3/2,F1=2-1,F=1-2' 'N=2-1,J=3/2-1/2,F1=1-0,F=1-1']",[217.2764648 217.27768  ],[-5.56865 -4.23612],[15.64195 15.65812],[-4.8277 -3.4952]
"['13CN' '13CN' '13CN' '13CN' '13CN' '13CN' '13CN' '13CN' '13CN' '13CN'
 '13CN' '13CN']","['Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical'
 'Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical'
 'Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical']","['N=2-1,J=5/2-3/2,F1=2-1,F=2-2' 'N=2-1,J=3/2-3/2,F1=2-2,F=2-1'
 'N=2-1,J=3/2-3/2,F1=2-2,F=3-2' 'N=2-1,J=5/2-3/2,F1=2-1,F=1-1'
 'N=2-1,J=3/2-3/2,F1=2-2,F=1-1' 'N=2-1,J=5/2-3/2,F1=2-1,F=1-0'
 'N=2-1,J=3/2-3/2,F1=2-2,F=2-2' 'N=2-1,J=5/2-3/2,F1=2-1,F=2-1'
 'N=2-1,J=5/2-3/2,F1=2-1,F=3-2' 'N=2-1,J=3/2-1/2,F1=1-0,F=2-1'
 'N=2-1,J=3/2-3/2,F1=2-2,F=1-2' 'N=2-1,J=3/2-3/2,F1=2-2,F=3-3']","[217.286804  217.2875776 217.2898171 217.290823  217.29447   217.296605
 217.298937  217.301175  217.303191  217.304927  217.3059315 217.306117 ]","[-4.61687 -5.51192 -5.65325 -4.39762 -4.78416 -4.27581 -4.8237  -4.14515
 -4.01767 -4.27451 -5.27974 -4.72492]","[15.64245 15.67687 15.6764  15.64192 15.6772  15.64191 15.67684 15.64242
 15.64323 15.65943 15.67718 15.67647]","[-3.6541 -4.5492 -4.5444 -3.6567 -4.0433 -3.5349 -3.861  -3.1824 -2.9088
 -3.3118 -4.5389 -3.6161]"
['13CN'],['Cyanide Radical'],"['N=2-1,J=3/2-3/2,F1=2-2,F=2-3']",[217.3151888],[-5.49997],[15.6769],[-4.5373]
['13CN'],['Cyanide Radical'],"['N=2-1,J=3/2-1/2,F1=2-1,F=3-2']",[217.428586],[-4.11548],[15.67644],[-3.0069]
['13CN' '13CN' '13CN' '13CN' '13CN'],"['Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical' 'Cyanide Radical'
 'Cyanide Radical']","['N=2-1,J=3/2-1/2,F1=2-1,F=2-1' 'N=2-1,J=3/2-1/2,F1=2-1,F=2-2'
 'N=2-1,J=3/2-1/2,F1=2-1,F=1-1' 'N=2-1,J=3/2-1/2,F1=2-1,F=1-1'
 'N=2-1,J=3/2-1/2,F1=2-1,F=1-2']",[217.436353 217.437818 217.443722 217.443722 217.444703],[-4.23013 -4.75433 -4.51077 -4.36107 -5.72817],[15.67696 15.67689 15.67732 15.67717 15.67722],[-3.2677 -3.7919 -3.7702 -3.6205 -4.9876]
