Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['13C18O' '13C18O'],['Carbon Monoxide' 'Carbon Monoxide'],"['J=1-0,F=1/2-1/2' 'J=1-0,F=1/2-1/2']",[104.7114035 104.7114035],[-7.26323 -7.26326],[5.02533 5.02533],[-5.6079 -5.3069]
['13C18O' '13C18O' '13C18O'],['Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide'],"['J=2-1,F=3/2-3/2' 'J=2-1,F=3/2-1/2' 'J=2-1,F=5/2-3/2']",[209.4190983 209.419138  209.4191721],[-7.05934 -6.36044 -6.28123],[15.07581 15.07581 15.07581],[-5.4149 -4.716  -4.4607]
['13C18O' '13C18O' '13C18O'],['Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide'],"['J=3-2,F=5/2-5/2' 'J=3-2,F=5/2-3/2' 'J=3-2,F=7/2-5/2']",[314.1195653 314.1196453 314.1196752],[-6.89949 -5.75339 -5.72343],[30.15113 30.15113 30.15113],[-5.2732 -4.1271 -3.9722]
['13C18O' '13C18O' '13C18O'],['Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide'],"['J=4-3,F=7/2-7/2' 'J=4-3,F=7/2-5/2' 'J=4-3,F=9/2-7/2']",[418.809134  418.8092422 418.8092763],[-6.78058 -5.34928 -5.33349],[50.25068 50.25068 50.25068],[-5.1797 -3.7484 -3.6357]
['13C18O' '13C18O' '13C18O'],['Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide'],"['J=5-4,F=9/2-9/2' 'J=5-4,F=9/2-7/2' 'J=5-4,F=11/2-9/2']",[523.484172  523.4843138 523.4843486],[-6.68692 -5.04352 -5.0338 ],[75.37371 75.37372 75.37372],[-5.1187 -3.4753 -3.3864]
['13C18O' '13C18O' '13C18O'],['Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide'],"['J=6-5,F=11/2-11/2' 'J=6-5,F=11/2-9/2' 'J=6-5,F=13/2-11/2']",[628.1410472 628.1412299 628.1412665],[-6.6101  -4.7972  -4.79054],[105.51962 105.51963 105.51963],[-5.0818 -3.2689 -3.1953]
['13C18O' '13C18O' '13C18O'],['Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide'],"['J=7-6,F=13/2-13/2' 'J=7-6,F=13/2-11/2' 'J=7-6,F=13/2-11/2']",[732.7761283 732.77636   732.77636  ],[-6.54512 -4.59082 -4.58611],[140.68709 140.6871  140.6871 ],[-5.064  -3.1097 -3.047 ]
['13C18O' '13C18O' '13C18O'],['Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide'],"['J=8-7,F=15/2-15/2' 'J=8-7,F=15/2-13/2' 'J=8-7,F=15/2-13/2']",[837.385784 837.386054 837.386054],[-6.48899 -4.41339 -4.40974],[180.87507 180.87508 180.87508],[-5.0623 -2.9867 -2.9319]
['13C18O' '13C18O' '13C18O'],['Carbon Monoxide' 'Carbon Monoxide' 'Carbon Monoxide'],"['J=9-8,F=17/2-17/2' 'J=9-8,F=17/2-15/2' 'J=9-8,F=17/2-15/2']",[941.966384 941.966695 941.966695],[-6.43971 -4.25781 -4.25497],[226.08209 226.0821  226.0821 ],[-5.0747 -2.8928 -2.8442]
