Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['CH3OCH3' 'CH3OCH3' 'CH3OCH3' 'CH3OCH3'],['Dimethyl ether' 'Dimethyl ether' 'Dimethyl ether' 'Dimethyl ether'],"['21(3,19)-20(4,16)AA' '21(3,19)-20(4,16)EE' '21(3,19)-20(4,16)EA'
 '21(3,19)-20(4,16)AE']",[179.4418955 179.4438419 179.4457864 179.4457905],[-4.94451 -4.94447 -4.94451 -4.94448],[223.02502 223.02497 223.02507 223.02507],[-5.306  -4.88   -5.4821 -5.7831]
['CH3OCH3' 'CH3OCH3' 'CH3OCH3' 'CH3OCH3'],['Dimethyl ether' 'Dimethyl ether' 'Dimethyl ether' 'Dimethyl ether'],"['17(2,16)-17(1,17)EA' '17(2,16)-17(1,17)AE' '17(2,16)-17(1,17)EE'
 '17(2,16)-17(1,17)AA']",[179.6917076 179.6917078 179.6952001 179.6986924],[-4.59756 -4.59763 -4.59751 -4.59753],[143.69813 143.69813 143.69786 143.69774],[-5.1103 -5.4114 -4.5082 -4.9342]
['CH3OCH3' 'CH3OCH3' 'CH3OCH3' 'CH3OCH3'],['Dimethyl ether' 'Dimethyl ether' 'Dimethyl ether' 'Dimethyl ether'],"['26(5,22)-25(6,19)AA' '26(5,22)-25(6,19)EE' '26(5,22)-25(6,19)EA'
 '26(5,22)-25(6,19)AE']",[179.9466788 179.9471704 179.9476618 179.9476619],[-4.88476 -4.88478 -4.88472 -4.88471],[355.51351 355.51339 355.51327 355.51327],[-5.1266 -4.9225 -5.5245 -5.3484]
['CH3OCH3' 'CH3OCH3' 'CH3OCH3' 'CH3OCH3'],['Dimethyl ether' 'Dimethyl ether' 'Dimethyl ether' 'Dimethyl ether'],"['29(6,23)-28(7,22)AE' '29(6,23)-28(7,22)EA' '29(6,23)-28(7,22)EE'
 '29(6,23)-28(7,22)AA']",[180.2798416 180.2799223 180.2800272 180.2801721],[-4.88786 -4.88857 -4.88803 -4.88791],[447.48308 447.48308 447.48309 447.48324],[-5.4389 -5.6157 -5.0131 -5.2171]
['CH3OCH3' 'CH3OCH3' 'CH3OCH3' 'CH3OCH3'],['Dimethyl ether' 'Dimethyl ether' 'Dimethyl ether' 'Dimethyl ether'],"['18(3,16)-18(2,17)EA' '18(3,16)-18(2,17)AE' '18(3,16)-18(2,17)EE'
 '18(3,16)-18(2,17)AA']",[180.6646019 180.6646029 180.6673134 180.6700243],[-4.361   -4.361   -4.36096 -4.36093],[168.48013 168.48013 168.48012 168.4801 ],[-4.8878 -4.7117 -4.2857 -4.4898]
['CH3OCH3' 'CH3OCH3' 'CH3OCH3' 'CH3OCH3'],['Dimethyl ether' 'Dimethyl ether' 'Dimethyl ether' 'Dimethyl ether'],"['18(4,14)-18(3,15)AE' '18(4,14)-18(3,15)EA' '18(4,14)-18(3,15)EE'
 '18(4,14)-18(3,15)AA']",[183.3954504 183.3954623 183.3977988 183.400141 ],[-4.25611 -4.25604 -4.25609 -4.25602],[178.59552 178.59553 178.59564 178.59561],[-5.105  -4.8039 -4.2019 -4.6278]
['CH3OCH3' 'CH3OCH3' 'CH3OCH3' 'CH3OCH3'],['Dimethyl ether' 'Dimethyl ether' 'Dimethyl ether' 'Dimethyl ether'],"['26(5,21)-25(6,20)AA' '26(5,21)-25(6,20)EE' '26(5,21)-25(6,20)AE'
 '26(5,21)-25(6,20)EA']",[185.4613115 185.4617354 185.4621592 185.4621593],[-4.84313 -4.8431  -4.84311 -4.84314],[355.76652 355.7664  355.76627 355.76627],[-5.3201 -4.8941 -5.7972 -5.4962]
['CH3OCH3' 'CH3OCH3' 'CH3OCH3' 'CH3OCH3'],['Dimethyl ether' 'Dimethyl ether' 'Dimethyl ether' 'Dimethyl ether'],"['19(1,18)-19(0,19)AE' '19(1,18)-19(0,19)EA' '19(1,18)-19(0,19)EE'
 '19(1,18)-19(0,19)AA']",[186.7296179 186.7296182 186.7331349 186.736652 ],[-4.5805  -4.5805  -4.58046 -4.58043],[176.10259 176.10259 176.10247 176.10221],[-4.9335 -5.1096 -4.5075 -4.7116]
['CH3OCH3' 'CH3OCH3' 'CH3OCH3' 'CH3OCH3'],['Dimethyl ether' 'Dimethyl ether' 'Dimethyl ether' 'Dimethyl ether'],"['19(3,17)-19(2,18)EA' '19(3,17)-19(2,18)AE' '19(3,17)-19(2,18)EE'
 '19(3,17)-19(2,18)AA']",[187.0598624 187.0598631 187.062533  187.0652031],[-4.32576 -4.32583 -4.32581 -4.32574],[185.76754 185.76754 185.76753 185.76751],[-4.8696 -5.1707 -4.2676 -4.6935]
['CH3OCH3' 'CH3OCH3' 'CH3OCH3' 'CH3OCH3'],['Dimethyl ether' 'Dimethyl ether' 'Dimethyl ether' 'Dimethyl ether'],"['19(3,16)-18(4,15)AA' '19(3,16)-18(4,15)EE' '19(3,16)-18(4,15)AE'
 '19(3,16)-18(4,15)EA']",[187.8831416 187.8852195 187.8872912 187.8873042],[-4.79175 -4.79177 -4.7917  -4.7917 ],[187.46998 187.47008 187.47004 187.47004],[-4.942  -4.7379 -5.1638 -5.3399]
