Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['t-HCOOH'],['Formic Acid'],"['15(3,13)-14(3,12)']",[338.2017968],[-3.38982],[158.3362],[-2.8362]
['t-HCOOH'],['Formic Acid'],"['15(4,11)-14(4,10)']",[338.2486752],[-3.40392],[180.53879],[-2.8825]
['t-HCOOH'],['Formic Acid'],"['7(2,6)-6(1,5)']",[338.9078981],[-5.26589],[42.89523],[-4.8613]
['t-HCOOH'],['Formic Acid'],"['12(3,10)-12(2,11)']",[339.2422608],[-5.10959],[112.89486],[-4.5849]
['t-HCOOH'],['Formic Acid'],"['15(3,12)-14(3,11)']",[340.2290482],[-3.38196],[158.63506],[-2.8313]
['t-HCOOH'],['Formic Acid'],"['13(3,11)-13(2,12)']",[341.955998],[-5.09639],[126.95784],[-4.562]
['t-HCOOH'],['Formic Acid'],"['16(1,16)-15(1,15)']",[342.5212248],[-3.35676],[143.59095],[-2.76]
['t-HCOOH'],['Formic Acid'],"['18(2,17)-18(1,18)']",[343.6959211],[-5.28505],[195.98829],[-4.7159]
['t-HCOOH'],['Formic Acid'],"['16(6,11)-17(5,12)']",[343.8651434],[-5.72601],[261.22932],[-5.3012]
['t-HCOOH'],['Formic Acid'],"['16(6,10)-17(5,13)']",[343.8839491],[-5.72598],[261.22936],[-5.3012]
['t-HCOOH'],['Formic Acid'],"['15(1,14)-14(1,13)']",[343.9524127],[-3.35303],[136.28091],[-2.7746]
['t-HCOOH'],['Formic Acid'],"['16(0,16)-15(0,15)']",[345.0305959],[-3.34686],[143.05228],[-2.7524]
['t-HCOOH'],['Formic Acid'],"['14(3,12)-14(2,13)']",[345.2531277],[-5.08224],[142.10517],[-4.5428]
['t-HCOOH'],['Formic Acid'],"['15(2,13)-14(2,12)']",[346.7188893],[-3.34721],[144.45784],[-2.784]
['t-HCOOH'],['Formic Acid'],"['10(5,6)-11(4,7)']",[347.8523053],[-5.81984],[138.82723],[-5.419]
['t-HCOOH'],['Formic Acid'],"['10(5,5)-11(4,8)']",[347.8740181],[-5.81971],[138.82726],[-5.4189]
['t-HCOOH'],['Formic Acid'],"['6(2,4)-5(1,5)']",[348.015233],[-5.30381],[35.45923],[-4.9618]
['t-HCOOH'],['Formic Acid'],"['15(3,13)-15(2,14)']",[349.1890976],[-5.06682],[158.33634],[-4.5267]
['t-HCOOH'],['Formic Acid'],"['19(1,18)-18(2,17)']",[349.3594911],[-5.16664],[212.75472],[-4.6058]
['t-HCOOH'],['Formic Acid'],"['18(2,17)-18(0,18)']",[351.0257029],[-5.55294],[195.98829],[-4.9927]
['t-HCOOH'],['Formic Acid'],"['16(3,14)-16(2,15)']",[353.8151635],[-5.04996],[175.65006],[-4.5133]
['t-HCOOH'],['Formic Acid'],"['17(0,17)-16(1,16)']",[354.4482885],[-4.87694],[160.60172],[-4.2937]
['t-HCOOH'],['Formic Acid'],"['8(2,7)-7(1,6)']",[355.6941703],[-5.21128],[51.50429],[-4.7852]
['t-HCOOH'],['Formic Acid'],"['16(2,15)-15(2,14)']",[356.1372498],[-3.31108],[158.6698],[-2.7526]
['t-HCOOH'],['Formic Acid'],"['16(1,16)-15(0,15)']",[356.254459],[-4.87677],[143.59094],[-4.2966]
['t-HCOOH'],['Formic Acid'],"['17(3,15)-17(2,16)']",[359.1774748],[-5.03164],[194.04539],[-4.5024]
['t-HCOOH'],['Formic Acid'],"['19(2,18)-19(1,19)']",[359.5032868],[-5.24127],[216.20771],[-4.6975]
['t-HCOOH' 't-HCOOH' 't-HCOOH' 't-HCOOH'],['Formic Acid' 'Formic Acid' 'Formic Acid' 'Formic Acid'],"['16(9,7)-15(9,6)' '16(9,7)-15(9,6)' '16(10,6)-15(10,5)'
 '16(10,6)-15(10,5)']",[359.935185  359.935185  359.9360694 359.9360694],[-3.45519 -3.45519 -3.5051  -3.5051 ],[403.90329 403.90329 464.06386 464.06386],[-3.2562 -3.2562 -3.3932 -3.3932]
['t-HCOOH' 't-HCOOH'],['Formic Acid' 'Formic Acid'],"['16(8,9)-15(8,8)' '16(8,9)-15(8,8)']",[359.9596292 359.9596292],[-3.41485 -3.41485],[350.03092 350.03092],[-3.1379 -3.1379]
['t-HCOOH' 't-HCOOH'],['Formic Acid' 'Formic Acid'],"['16(7,10)-15(7,9)' '16(7,9)-15(7,8)']",[360.0221826 360.0221835],[-3.38194 -3.38194],[302.46636 302.46636],[-3.0362 -3.0362]
['t-HCOOH' 't-HCOOH'],['Formic Acid' 'Formic Acid'],"['16(6,11)-15(6,10)' '16(6,10)-15(6,9)']",[360.147672  360.1477553],[-3.35509 -3.35509],[261.22936 261.22936],[-2.9498 -2.9498]
['t-HCOOH' 't-HCOOH'],['Formic Acid' 'Formic Acid'],"['16(5,12)-15(5,11)' '16(5,11)-15(5,10)']",[360.3881951 360.3930406],[-3.33301 -3.333  ],[226.34429 226.34481],[-2.8775 -2.8775]
['t-HCOOH'],['Formic Acid'],"['16(3,14)-15(3,13)']",[360.7633157],[-3.30265],[175.65001],[-2.7742]
['t-HCOOH'],['Formic Acid'],"['16(4,13)-15(4,12)']",[360.8110241],[-3.31487],[197.84286],[-2.8186]
['t-HCOOH'],['Formic Acid'],"['16(4,12)-15(4,11)']",[360.9761163],[-3.31425],[197.86287],[-2.8182]
['t-HCOOH'],['Formic Acid'],"['16(3,13)-15(3,12)']",[363.5098734],[-3.29273],[176.08066],[-2.7681]
['t-HCOOH'],['Formic Acid'],"['17(1,17)-16(1,16)']",[363.5498529],[-3.27822],[161.03852],[-2.7063]
['t-HCOOH'],['Formic Acid'],"['18(3,16)-18(2,17)']",[365.3162787],[-5.01173],[213.52052],[-4.4937]
['t-HCOOH'],['Formic Acid'],"['19(2,18)-19(0,19)']",[365.3703563],[-5.50234],[216.20771],[-4.9654]
['t-HCOOH'],['Formic Acid'],"['17(0,17)-16(0,16)']",[365.6721517],[-3.2703],[160.6017],[-2.7002]
['t-HCOOH'],['Formic Acid'],"['16(1,15)-15(1,14)']",[365.9271135],[-3.27133],[153.84252],[-2.7173]
['t-HCOOH' 't-HCOOH'],['Formic Acid' 'Formic Acid'],"['15(6,10)-16(5,11)' '15(6,9)-16(5,12)']",[366.7331256 366.7434028],[-5.66682 -5.6668 ],[243.9451  243.94516],[-5.2713 -5.2713]
['t-HCOOH'],['Formic Acid'],"['16(2,14)-15(2,13)']",[370.3174042],[-3.25956],[162.23017],[-2.7227]
['t-HCOOH' 't-HCOOH'],['Formic Acid' 'Formic Acid'],"['9(5,5)-10(4,6)' '9(5,4)-10(4,7)']",[370.5475146 370.5576544],[-5.79785 -5.79784],[128.03017 128.03009],[-5.4515 -5.4515]
['t-HCOOH'],['Formic Acid'],"['9(2,8)-8(1,7)']",[371.717615],[-5.1576],[61.18316],[-4.7158]
['t-HCOOH'],['Formic Acid'],"['19(3,17)-19(2,18)']",[372.2652507],[-4.9901],[234.07361],[-4.4869]
['t-HCOOH'],['Formic Acid'],"['17(1,17)-16(0,16)']",[374.773716],[-4.80181],[161.03851],[-4.2427]
['t-HCOOH'],['Formic Acid'],"['20(2,19)-20(1,20)']",[375.9538574],[-5.19736],[237.46268],[-4.6815]
