Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
SO3&Sigma;v=0,Sulfur Monoxide,6(7)-5(4),843.1443253,-4.89157,64.89317,-3.9399
SO3&Sigma;v=0,Sulfur Monoxide,19(20)-18(19),859.4486885,-2.06378,439.75377,-1.1854
SO3&Sigma;v=0,Sulfur Monoxide,20(20)-19(19),859.8628919,-2.06289,446.67643,-1.173
SO3&Sigma;v=0,Sulfur Monoxide,21(20)-20(19),860.1504537,-2.06137,438.43587,-1.139
SO3&Sigma;v=0,Sulfur Monoxide,16(16)-16(15),861.9093855,-4.57333,293.9636,-3.5576
SO3&Sigma;v=0,Sulfur Monoxide,9(10)-9(8),864.096578,-6.45903,120.24503,-5.4326
SO3&Sigma;v=0,Sulfur Monoxide,20(21)-19(20),902.3789972,-1.99957,483.06086,-1.1818
SO3&Sigma;v=0,Sulfur Monoxide,21(21)-20(20),902.7389715,-1.99894,490.00077,-1.1707
SO3&Sigma;v=0,Sulfur Monoxide,22(21)-21(20),902.9847475,-1.99749,481.77216,-1.1377
SO3&Sigma;v=0,Sulfur Monoxide,17(17)-17(16),904.3144272,-4.55644,329.0527,-3.5853
SO3&Sigma;v=0,Sulfur Monoxide,9(9)-8(7),915.269781,-6.88518,106.07022,-5.8614
SO3&Sigma;v=0,Sulfur Monoxide,10(11)-10(9),946.5130379,-6.4195,142.87502,-5.419
SO3&Sigma;v=0,Sulfur Monoxide,18(18)-18(17),946.7814407,-4.53997,366.20163,-3.6169
